,MAQCA,MAQCB
ENSG00000019186,21.8,28.01
ENSG00000019485,25.2,23.77
ENSG00000019505,26.26,20.38
ENSG00000019549,21.65,24.24
ENSG00000019582,19.97,19.19
ENSG00000019991,22.04,23.81
ENSG00000019995,21.41,20.5
ENSG00000020129,22.07,18.25
ENSG00000020181,23.52,24.36
ENSG00000020256,22.04,22.94
ENSG00000020426,20.45,21.12
ENSG00000020577,23.43,21.44
ENSG00000020633,22.22,25.06
ENSG00000020922,21.04,23.32
ENSG00000021300,23.82,18.22
ENSG00000021355,21.41,23.09
ENSG00000021488,27.3,30.17
ENSG00000021574,22.64,22.82
ENSG00000021645,27.31,19.1
ENSG00000021762,25.05,25.44
ENSG00000021776,20.41,21.26
ENSG00000021826,27.89,26
ENSG00000021852,25.52,34.93
ENSG00000022267,24.66,23.25
ENSG00000022277,20.42,21.03
ENSG00000022355,32.27,18.82
ENSG00000022556,22.36,26.02
ENSG00000022567,24.16,22.73
ENSG00000022840,20.26,20.46
ENSG00000022976,23.38,24.03
ENSG00000023041,21.14,22.38
ENSG00000023171,20.95,19.19
ENSG00000023191,24.3,25.02
ENSG00000023228,19.39,19.07
ENSG00000023287,20.38,20.16
ENSG00000023318,20.36,22.01
ENSG00000023445,22.08,24.94
ENSG00000023516,20.91,19.09
ENSG00000023572,0,22.53
ENSG00000023608,22.21,24.42
ENSG00000023697,20.34,22.36
ENSG00000023734,18.33,19.4
ENSG00000023839,20.63,27.34
ENSG00000023892,22.14,25.37
ENSG00000023902,21.53,21.15
ENSG00000023909,20.98,21.95
ENSG00000024048,21.86,22.83
ENSG00000024422,20.86,22.98
ENSG00000024526,21.24,24.93
ENSG00000024862,21.57,21.33
ENSG00000025039,21.28,20.22
ENSG00000025156,21.51,21.67
ENSG00000025293,20.57,20.79
ENSG00000025423,25.1,23.11
ENSG00000025434,22.56,23.41
ENSG00000025708,24.38,24.62
ENSG00000025770,25.18,26
ENSG00000025772,20.3,21.45
ENSG00000025796,19.5,19.99
ENSG00000025800,20.44,21.07
ENSG00000026025,15.56,19.34
ENSG00000026103,23.04,23.35
ENSG00000026297,19.11,21.37
ENSG00000026508,17.34,20.61
ENSG00000026559,25.42,26.17
ENSG00000026652,22.38,21.11
ENSG00000026751,24.96,31.38
ENSG00000026950,22.1,23.65
ENSG00000027001,21.41,22.74
ENSG00000027075,23.62,24.36
ENSG00000027644,31.18,28.95
ENSG00000027697,21.05,21.12
ENSG00000027847,22.28,23.01
ENSG00000027869,25.62,28.67
ENSG00000028116,21.7,23.49
ENSG00000028137,24.08,24.72
ENSG00000028203,23.6,22.47
ENSG00000028277,26.47,24.23
ENSG00000028310,20.12,21.09
ENSG00000028528,20.58,21.01
ENSG00000028839,28.48,25.54
ENSG00000029153,20.57,22.74
ENSG00000029363,27.46,27.05
ENSG00000029364,20.81,21.49
ENSG00000029534,22.56,20.55
ENSG00000029559,29.62,27.49
ENSG00000029639,21.27,22.94
ENSG00000029725,21.14,20.27
ENSG00000030066,19.28,21.87
ENSG00000030304,32.3,32.3
ENSG00000030419,23.21,23.62
ENSG00000030582,19.83,22.47
ENSG00000031003,21.24,20.62
ENSG00000031081,25.02,23.9
ENSG00000031544,31.86,33.54
ENSG00000031691,25.96,24.93
ENSG00000031698,19.39,19.62
ENSG00000031823,20.57,21.02
ENSG00000032219,21.46,20.93
ENSG00000032389,21.34,21.44
ENSG00000032444,21.67,20.99
ENSG00000032742,0,23.75
ENSG00000033011,22.45,24.1
ENSG00000033030,20.73,22.38
ENSG00000033050,21.01,21.46
ENSG00000033100,21.75,23.31
ENSG00000033122,26.19,21.08
ENSG00000033170,21.22,20.55
ENSG00000033178,20.43,21.47
ENSG00000033327,22.08,21.08
ENSG00000033627,21.76,19.17
ENSG00000033800,21.07,20.69
ENSG00000033867,20.17,19.46
ENSG00000034053,23.36,20.17
ENSG00000034063,19.32,24.89
ENSG00000034152,22.89,24.87
ENSG00000034239,33.31,26.37
ENSG00000034510,15.4,17.08
ENSG00000034533,24.09,24.53
ENSG00000034677,20.31,20.68
ENSG00000034693,22.33,23.07
ENSG00000034713,19.11,18.14
ENSG00000034971,33.66,30.87
ENSG00000035115,25.02,25.26
ENSG00000035141,20.4,22.64
ENSG00000035403,20.03,23.14
ENSG00000035499,21.5,27.11
ENSG00000035664,25.57,25.27
ENSG00000035681,21.73,23.24
ENSG00000035720,29.18,33.24
ENSG00000035862,18.18,19.03
ENSG00000035928,21.15,22.57
ENSG00000036054,21.4,22.17
ENSG00000036448,32.73,25.37
ENSG00000036473,32.11,29.1
ENSG00000036530,0,0
ENSG00000036549,21.09,22.23
ENSG00000036565,26.59,30.97
ENSG00000036672,25.05,21.82
ENSG00000036828,37.31,31.58
ENSG00000037241,19.95,21.78
ENSG00000037280,27.65,26.12
ENSG00000037474,19.59,22.23
ENSG00000037637,22.25,22.96
ENSG00000037749,21.58,21.78
ENSG00000037757,21.44,22.27
ENSG00000037897,22.25,25.19
ENSG00000037965,25.86,34.77
ENSG00000038002,23.35,25.3
ENSG00000038210,23.02,25.88
ENSG00000038219,22.11,21.66
ENSG00000038274,19.66,19.4
ENSG00000038295,31.81,23.3
ENSG00000038358,21.38,22.17
ENSG00000038382,20.3,20.49
ENSG00000038427,19.67,21.11
ENSG00000038532,21.02,20.75
ENSG00000038945,26.07,23.27
ENSG00000039068,21.61,26.41
ENSG00000039123,21.47,21.99
ENSG00000039139,27.68,27.66
ENSG00000039319,20.87,21.08
ENSG00000039523,21.82,21.45
ENSG00000039537,34.44,29.88
ENSG00000039560,21.65,24.45
ENSG00000039600,30.77,32.4
ENSG00000039650,22.23,23.39
ENSG00000039987,32.36,32.08
ENSG00000040199,23.07,21.69
ENSG00000040275,20.57,22.89
ENSG00000040341,21.42,20.29
ENSG00000040487,29.57,29.97
ENSG00000040531,22.13,23.59
ENSG00000040608,24.14,21.81
ENSG00000040633,22.02,22.63
ENSG00000040731,25.42,21.63
ENSG00000040933,22.44,21.05
ENSG00000041353,22.75,22.13
ENSG00000041357,18.19,20.33
ENSG00000041802,21.92,23.26
ENSG00000041880,23.08,24.22
ENSG00000041982,18.49,23.35
ENSG00000042062,24.47,27.05
ENSG00000042088,21.01,22.66
ENSG00000042286,22.09,24.07
ENSG00000042304,0,0
ENSG00000042317,23.08,20.35
ENSG00000042429,22.46,23.01
ENSG00000042445,20.97,21.72
ENSG00000042493,26.95,29.81
ENSG00000042753,19.58,20.69
ENSG00000042781,33.26,28.47
ENSG00000042813,31.43,29.01
ENSG00000042832,30.32,29.1
ENSG00000042980,25.98,24.41
ENSG00000043039,26.06,27.5
ENSG00000043093,28.77,27.2
ENSG00000043143,21.45,21.05
ENSG00000043355,20.31,19.04
ENSG00000043462,22.12,23.38
ENSG00000043591,25.26,22.47
ENSG00000044012,32.5,37.35
